country_region,province_state,latitude,longitude,date,confirmed_case
US,"Hudson County, NJ",40.7453,-74.0535,2/19/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/18/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/17/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/16/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/15/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/14/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/13/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/12/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/11/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/10/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/9/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/8/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/7/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/6/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/5/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/4/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/3/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/2/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/1/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/31/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/30/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/29/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/28/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/27/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/26/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/25/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/24/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/23/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,1/22/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/20/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/19/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/18/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/17/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/16/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/15/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/14/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/13/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/12/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/11/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/10/2020,0
US,"Humboldt County, CA",40.745,-123.8695,3/9/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/8/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/7/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/6/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/5/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/4/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/3/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/2/2020,1
US,"Humboldt County, CA",40.745,-123.8695,3/1/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/29/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/28/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/27/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/26/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/25/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/24/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/23/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/22/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/21/2020,1
US,"Humboldt County, CA",40.745,-123.8695,2/20/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/19/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/18/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/17/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/16/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/15/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/14/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/13/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/12/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/11/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/10/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/9/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/8/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/7/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/6/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/5/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/4/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/3/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/2/2020,0
US,"Humboldt County, CA",40.745,-123.8695,2/1/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/31/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/30/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/29/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/28/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/27/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/26/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/25/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/24/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/23/2020,0
US,"Humboldt County, CA",40.745,-123.8695,1/22/2020,0
US,Idaho,44.2405,-114.4788,3/20/2020,23
US,Idaho,44.2405,-114.4788,3/19/2020,11
US,Idaho,44.2405,-114.4788,3/18/2020,9
US,Idaho,44.2405,-114.4788,3/17/2020,8
US,Idaho,44.2405,-114.4788,3/16/2020,5
US,Idaho,44.2405,-114.4788,3/15/2020,5
US,Idaho,44.2405,-114.4788,3/14/2020,2
US,Idaho,44.2405,-114.4788,3/13/2020,1
US,Idaho,44.2405,-114.4788,3/12/2020,0
US,Idaho,44.2405,-114.4788,3/11/2020,0
US,Idaho,44.2405,-114.4788,3/10/2020,0
US,Idaho,44.2405,-114.4788,3/9/2020,0
US,Idaho,44.2405,-114.4788,3/8/2020,0
US,Idaho,44.2405,-114.4788,3/7/2020,0
US,Idaho,44.2405,-114.4788,3/6/2020,0
US,Idaho,44.2405,-114.4788,3/5/2020,0
US,Idaho,44.2405,-114.4788,3/4/2020,0
US,Idaho,44.2405,-114.4788,3/3/2020,0
US,Idaho,44.2405,-114.4788,3/2/2020,0
US,Idaho,44.2405,-114.4788,3/1/2020,0
US,Idaho,44.2405,-114.4788,2/29/2020,0
US,Idaho,44.2405,-114.4788,2/28/2020,0
US,Idaho,44.2405,-114.4788,2/27/2020,0
US,Idaho,44.2405,-114.4788,2/26/2020,0
US,Idaho,44.2405,-114.4788,2/25/2020,0
US,Idaho,44.2405,-114.4788,2/24/2020,0
US,Idaho,44.2405,-114.4788,2/23/2020,0
US,Idaho,44.2405,-114.4788,2/22/2020,0
US,Idaho,44.2405,-114.4788,2/21/2020,0
US,Idaho,44.2405,-114.4788,2/20/2020,0
US,Idaho,44.2405,-114.4788,2/19/2020,0
US,Idaho,44.2405,-114.4788,2/18/2020,0
US,Idaho,44.2405,-114.4788,2/17/2020,0
US,Idaho,44.2405,-114.4788,2/16/2020,0
US,Idaho,44.2405,-114.4788,2/15/2020,0
US,Idaho,44.2405,-114.4788,2/14/2020,0
US,Idaho,44.2405,-114.4788,2/13/2020,0
US,Idaho,44.2405,-114.4788,2/12/2020,0
US,Idaho,44.2405,-114.4788,2/11/2020,0
US,Idaho,44.2405,-114.4788,2/10/2020,0
US,Idaho,44.2405,-114.4788,2/9/2020,0
US,Idaho,44.2405,-114.4788,2/8/2020,0
US,Idaho,44.2405,-114.4788,2/7/2020,0
US,Idaho,44.2405,-114.4788,2/6/2020,0
US,Idaho,44.2405,-114.4788,2/5/2020,0
US,Idaho,44.2405,-114.4788,2/4/2020,0
US,Idaho,44.2405,-114.4788,2/3/2020,0
US,Idaho,44.2405,-114.4788,2/2/2020,0
US,Idaho,44.2405,-114.4788,2/1/2020,0
US,Idaho,44.2405,-114.4788,1/31/2020,0
US,Idaho,44.2405,-114.4788,1/30/2020,0
US,Idaho,44.2405,-114.4788,1/29/2020,0
US,Idaho,44.2405,-114.4788,1/28/2020,0
US,Idaho,44.2405,-114.4788,1/27/2020,0
US,Idaho,44.2405,-114.4788,1/26/2020,0
US,Idaho,44.2405,-114.4788,1/25/2020,0
US,Idaho,44.2405,-114.4788,1/24/2020,0
US,Idaho,44.2405,-114.4788,1/23/2020,0
US,Idaho,44.2405,-114.4788,1/22/2020,0
US,Illinois,40.3495,-88.9861,3/20/2020,585
US,Illinois,40.3495,-88.9861,3/19/2020,422
US,Illinois,40.3495,-88.9861,3/18/2020,162
US,Illinois,40.3495,-88.9861,3/17/2020,161
US,Illinois,40.3495,-88.9861,3/16/2020,105
US,Illinois,40.3495,-88.9861,3/15/2020,93
US,Illinois,40.3495,-88.9861,3/14/2020,64
US,Illinois,40.3495,-88.9861,3/13/2020,46
US,Illinois,40.3495,-88.9861,3/12/2020,32
US,Illinois,40.3495,-88.9861,3/11/2020,25
US,Illinois,40.3495,-88.9861,3/10/2020,12
US,Illinois,40.3495,-88.9861,3/9/2020,0
US,Illinois,40.3495,-88.9861,3/8/2020,0
US,Illinois,40.3495,-88.9861,3/7/2020,0
US,Illinois,40.3495,-88.9861,3/6/2020,0
US,Illinois,40.3495,-88.9861,3/5/2020,0
US,Illinois,40.3495,-88.9861,3/4/2020,0
US,Illinois,40.3495,-88.9861,3/3/2020,0
US,Illinois,40.3495,-88.9861,3/2/2020,0
US,Illinois,40.3495,-88.9861,3/1/2020,0
US,Illinois,40.3495,-88.9861,2/29/2020,0
US,Illinois,40.3495,-88.9861,2/28/2020,0
US,Illinois,40.3495,-88.9861,2/27/2020,0
US,Illinois,40.3495,-88.9861,2/26/2020,0
US,Illinois,40.3495,-88.9861,2/25/2020,0
US,Illinois,40.3495,-88.9861,2/24/2020,0
US,Illinois,40.3495,-88.9861,2/23/2020,0
US,Illinois,40.3495,-88.9861,2/22/2020,0
US,Illinois,40.3495,-88.9861,2/21/2020,0
US,Illinois,40.3495,-88.9861,2/20/2020,0
US,Illinois,40.3495,-88.9861,2/19/2020,0
US,Illinois,40.3495,-88.9861,2/18/2020,0
US,Illinois,40.3495,-88.9861,2/17/2020,0
US,Illinois,40.3495,-88.9861,2/16/2020,0
